@relation train_forest

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric

@data
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.887742,0.261544,0.805559,0.089127,0.646302,0.364706,0.4,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.974194,0.400069,0.672218,0.196078,0.697749,0.305882,0.2,0,0.007352
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.974194,0.400069,0.672218,0.196078,0.617363,0.341176,0.255556,0,0.000623
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.943226,0.585114,0.802627,0.244207,0.59164,0.517647,0.055556,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.943226,0.585114,0.802627,0.244207,0.691318,0.294118,0.155556,0,0.001265
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.966452,0.333563,0.626363,0.256684,0.839228,0.2,0.4,0,0.008113
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.940645,0.383529,0.662718,0.158645,0.289389,0.811765,0.8,0,0.003025
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.940645,0.383529,0.662718,0.158645,0.617363,0.317647,0.3,0,0.003896
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.934194,0.482426,0.728509,0.12656,0.549839,0.282353,0.355556,0,0.00143
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.975484,0.573742,0.793362,0.231729,0.630225,0.447059,0.3,0,0.005995
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.967742,0.34838,0.636097,0.26025,0.639871,0.458824,0.8,0,0.000724
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.975484,0.450034,0.702709,0.404635,0.553055,0.470588,0.4,0,0.000156
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.947097,0.522054,0.762636,0.254902,0.691318,0.105882,0.3,0,0
