**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.330689
Iteración 2	 Error de entrenamiento: 0.322105
Iteración 3	 Error de entrenamiento: 0.30685
Iteración 4	 Error de entrenamiento: 0.298845
Iteración 5	 Error de entrenamiento: 0.308906
Iteración 6	 Error de entrenamiento: 0.33265
Iteración 7	 Error de entrenamiento: 0.35918
Iteración 8	 Error de entrenamiento: 0.382037
Iteración 9	 Error de entrenamiento: 0.399682
Iteración 10	 Error de entrenamiento: 0.412605
Iteración 11	 Error de entrenamiento: 0.42178
Iteración 12	 Error de entrenamiento: 0.428146
Iteración 13	 Error de entrenamiento: 0.432464
Iteración 14	 Error de entrenamiento: 0.435311
Iteración 15	 Error de entrenamiento: 0.437104
Iteración 16	 Error de entrenamiento: 0.438141
Iteración 17	 Error de entrenamiento: 0.438635
Iteración 18	 Error de entrenamiento: 0.43874
Iteración 19	 Error de entrenamiento: 0.438573
Iteración 20	 Error de entrenamiento: 0.438225
Iteración 21	 Error de entrenamiento: 0.437771
Iteración 22	 Error de entrenamiento: 0.437273
Iteración 23	 Error de entrenamiento: 0.436784
Iteración 24	 Error de entrenamiento: 0.436349
Iteración 25	 Error de entrenamiento: 0.436004
Iteración 26	 Error de entrenamiento: 0.435774
Iteración 27	 Error de entrenamiento: 0.43568
Iteración 28	 Error de entrenamiento: 0.43573
Iteración 29	 Error de entrenamiento: 0.435926
Iteración 30	 Error de entrenamiento: 0.436263
Iteración 31	 Error de entrenamiento: 0.436731
Iteración 32	 Error de entrenamiento: 0.437314
Iteración 33	 Error de entrenamiento: 0.437995
Iteración 34	 Error de entrenamiento: 0.438757
Iteración 35	 Error de entrenamiento: 0.439582
Iteración 36	 Error de entrenamiento: 0.440452
Iteración 37	 Error de entrenamiento: 0.441352
Iteración 38	 Error de entrenamiento: 0.442269
Iteración 39	 Error de entrenamiento: 0.443193
Iteración 40	 Error de entrenamiento: 0.444112
Iteración 41	 Error de entrenamiento: 0.445021
Iteración 42	 Error de entrenamiento: 0.445912
Iteración 43	 Error de entrenamiento: 0.446782
Iteración 44	 Error de entrenamiento: 0.447626
Iteración 45	 Error de entrenamiento: 0.448442
Iteración 46	 Error de entrenamiento: 0.449228
Iteración 47	 Error de entrenamiento: 0.449982
Iteración 48	 Error de entrenamiento: 0.450705
Iteración 49	 Error de entrenamiento: 0.451395
Iteración 50	 Error de entrenamiento: 0.452052
Iteración 51	 Error de entrenamiento: 0.452677
Iteración 52	 Error de entrenamiento: 0.45327
Iteración 53	 Error de entrenamiento: 0.453832
Iteración 54	 Error de entrenamiento: 0.454363
Iteración 55	 Error de entrenamiento: 0.454863
Iteración 56	 Error de entrenamiento: 0.455334
Iteración 57	 Error de entrenamiento: 0.455777
Iteración 58	 Error de entrenamiento: 0.456193
Iteración 59	 Error de entrenamiento: 0.456582
Iteración 60	 Error de entrenamiento: 0.456945
Iteración 61	 Error de entrenamiento: 0.457284
Iteración 62	 Error de entrenamiento: 0.4576
Iteración 63	 Error de entrenamiento: 0.457893
Iteración 64	 Error de entrenamiento: 0.458165
Iteración 65	 Error de entrenamiento: 0.458417
Iteración 66	 Error de entrenamiento: 0.458649
Iteración 67	 Error de entrenamiento: 0.458863
Iteración 68	 Error de entrenamiento: 0.45906
Iteración 69	 Error de entrenamiento: 0.459241
