**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.294243
Iteración 2	 Error de entrenamiento: 0.271716
Iteración 3	 Error de entrenamiento: 0.251103
Iteración 4	 Error de entrenamiento: 0.232575
Iteración 5	 Error de entrenamiento: 0.215888
Iteración 6	 Error de entrenamiento: 0.200714
Iteración 7	 Error de entrenamiento: 0.186779
Iteración 8	 Error de entrenamiento: 0.173944
Iteración 9	 Error de entrenamiento: 0.162223
Iteración 10	 Error de entrenamiento: 0.151742
Iteración 11	 Error de entrenamiento: 0.142651
Iteración 12	 Error de entrenamiento: 0.13502
Iteración 13	 Error de entrenamiento: 0.128788
Iteración 14	 Error de entrenamiento: 0.12378
Iteración 15	 Error de entrenamiento: 0.11977
Iteración 16	 Error de entrenamiento: 0.116538
Iteración 17	 Error de entrenamiento: 0.113903
Iteración 18	 Error de entrenamiento: 0.111727
Iteración 19	 Error de entrenamiento: 0.109906
Iteración 20	 Error de entrenamiento: 0.108365
Iteración 21	 Error de entrenamiento: 0.107048
Iteración 22	 Error de entrenamiento: 0.105913
Iteración 23	 Error de entrenamiento: 0.104927
Iteración 24	 Error de entrenamiento: 0.104066
Iteración 25	 Error de entrenamiento: 0.10331
Iteración 26	 Error de entrenamiento: 0.102641
Iteración 27	 Error de entrenamiento: 0.102049
Iteración 28	 Error de entrenamiento: 0.101522
Iteración 29	 Error de entrenamiento: 0.101052
Iteración 30	 Error de entrenamiento: 0.100631
Iteración 31	 Error de entrenamiento: 0.100253
Iteración 32	 Error de entrenamiento: 0.0999123
Iteración 33	 Error de entrenamiento: 0.0996055
Iteración 34	 Error de entrenamiento: 0.0993282
Iteración 35	 Error de entrenamiento: 0.0990772
Iteración 36	 Error de entrenamiento: 0.0988496
Iteración 37	 Error de entrenamiento: 0.0986429
Iteración 38	 Error de entrenamiento: 0.0984548
Iteración 39	 Error de entrenamiento: 0.0982835
Iteración 40	 Error de entrenamiento: 0.0981273
Iteración 41	 Error de entrenamiento: 0.0979847
Iteración 42	 Error de entrenamiento: 0.0978542
Iteración 43	 Error de entrenamiento: 0.0977347
Iteración 44	 Error de entrenamiento: 0.0976252
Iteración 45	 Error de entrenamiento: 0.0975247
Iteración 46	 Error de entrenamiento: 0.0974324
Iteración 47	 Error de entrenamiento: 0.0973474
Iteración 48	 Error de entrenamiento: 0.0972691
