**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.134556
Iteración 2	 Error de entrenamiento: 0.132414
Iteración 3	 Error de entrenamiento: 0.130543
Iteración 4	 Error de entrenamiento: 0.128953
Iteración 5	 Error de entrenamiento: 0.127605
Iteración 6	 Error de entrenamiento: 0.126457
Iteración 7	 Error de entrenamiento: 0.125471
Iteración 8	 Error de entrenamiento: 0.124615
Iteración 9	 Error de entrenamiento: 0.123861
Iteración 10	 Error de entrenamiento: 0.123191
Iteración 11	 Error de entrenamiento: 0.122588
Iteración 12	 Error de entrenamiento: 0.122041
Iteración 13	 Error de entrenamiento: 0.12154
Iteración 14	 Error de entrenamiento: 0.121077
Iteración 15	 Error de entrenamiento: 0.120648
Iteración 16	 Error de entrenamiento: 0.120248
Iteración 17	 Error de entrenamiento: 0.119872
Iteración 18	 Error de entrenamiento: 0.119519
Iteración 19	 Error de entrenamiento: 0.119185
Iteración 20	 Error de entrenamiento: 0.118869
Iteración 21	 Error de entrenamiento: 0.118569
Iteración 22	 Error de entrenamiento: 0.118283
Iteración 23	 Error de entrenamiento: 0.118009
Iteración 24	 Error de entrenamiento: 0.117747
Iteración 25	 Error de entrenamiento: 0.117495
Iteración 26	 Error de entrenamiento: 0.117252
Iteración 27	 Error de entrenamiento: 0.117016
Iteración 28	 Error de entrenamiento: 0.116788
Iteración 29	 Error de entrenamiento: 0.116567
Iteración 30	 Error de entrenamiento: 0.11635
Iteración 31	 Error de entrenamiento: 0.116139
Iteración 32	 Error de entrenamiento: 0.115932
Iteración 33	 Error de entrenamiento: 0.115728
Iteración 34	 Error de entrenamiento: 0.115528
Iteración 35	 Error de entrenamiento: 0.115331
Iteración 36	 Error de entrenamiento: 0.115137
Iteración 37	 Error de entrenamiento: 0.114945
Iteración 38	 Error de entrenamiento: 0.114756
Iteración 39	 Error de entrenamiento: 0.114568
Iteración 40	 Error de entrenamiento: 0.114383
Iteración 41	 Error de entrenamiento: 0.114199
Iteración 42	 Error de entrenamiento: 0.114017
Iteración 43	 Error de entrenamiento: 0.113837
Iteración 44	 Error de entrenamiento: 0.113659
Iteración 45	 Error de entrenamiento: 0.113483
Iteración 46	 Error de entrenamiento: 0.113308
Iteración 47	 Error de entrenamiento: 0.113135
Iteración 48	 Error de entrenamiento: 0.112964
Iteración 49	 Error de entrenamiento: 0.112795
Iteración 50	 Error de entrenamiento: 0.112627
Iteración 51	 Error de entrenamiento: 0.112461
Iteración 52	 Error de entrenamiento: 0.112298
Iteración 53	 Error de entrenamiento: 0.112135
Iteración 54	 Error de entrenamiento: 0.111975
Iteración 55	 Error de entrenamiento: 0.111817
Iteración 56	 Error de entrenamiento: 0.11166
Iteración 57	 Error de entrenamiento: 0.111505
Iteración 58	 Error de entrenamiento: 0.111351
Iteración 59	 Error de entrenamiento: 0.111199
Iteración 60	 Error de entrenamiento: 0.111049
Iteración 61	 Error de entrenamiento: 0.110901
Iteración 62	 Error de entrenamiento: 0.110753
Iteración 63	 Error de entrenamiento: 0.110608
Iteración 64	 Error de entrenamiento: 0.110463
Iteración 65	 Error de entrenamiento: 0.11032
Iteración 66	 Error de entrenamiento: 0.110178
Iteración 67	 Error de entrenamiento: 0.110038
Iteración 68	 Error de entrenamiento: 0.109898
Iteración 69	 Error de entrenamiento: 0.10976
Iteración 70	 Error de entrenamiento: 0.109623
Iteración 71	 Error de entrenamiento: 0.109486
Iteración 72	 Error de entrenamiento: 0.109351
Iteración 73	 Error de entrenamiento: 0.109216
Iteración 74	 Error de entrenamiento: 0.109082
Iteración 75	 Error de entrenamiento: 0.108949
Iteración 76	 Error de entrenamiento: 0.108816
Iteración 77	 Error de entrenamiento: 0.108684
Iteración 78	 Error de entrenamiento: 0.108553
Iteración 79	 Error de entrenamiento: 0.108422
Iteración 80	 Error de entrenamiento: 0.108292
Iteración 81	 Error de entrenamiento: 0.108162
Iteración 82	 Error de entrenamiento: 0.108033
Iteración 83	 Error de entrenamiento: 0.107904
Iteración 84	 Error de entrenamiento: 0.107776
Iteración 85	 Error de entrenamiento: 0.107647
Iteración 86	 Error de entrenamiento: 0.10752
Iteración 87	 Error de entrenamiento: 0.107392
Iteración 88	 Error de entrenamiento: 0.107265
