**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,381425
Iteración 2	 Error de entrenamiento: 0,336625
Iteración 3	 Error de entrenamiento: 0,313495
Iteración 4	 Error de entrenamiento: 0,300641
Iteración 5	 Error de entrenamiento: 0,29187
Iteración 6	 Error de entrenamiento: 0,285221
Iteración 7	 Error de entrenamiento: 0,27986
Iteración 8	 Error de entrenamiento: 0,275286
Iteración 9	 Error de entrenamiento: 0,271177
Iteración 10	 Error de entrenamiento: 0,267335
Iteración 11	 Error de entrenamiento: 0,263646
Iteración 12	 Error de entrenamiento: 0,260054
Iteración 13	 Error de entrenamiento: 0,256532
Iteración 14	 Error de entrenamiento: 0,253074
Iteración 15	 Error de entrenamiento: 0,249679
Iteración 16	 Error de entrenamiento: 0,24635
Iteración 17	 Error de entrenamiento: 0,243089
Iteración 18	 Error de entrenamiento: 0,2399
Iteración 19	 Error de entrenamiento: 0,236782
Iteración 20	 Error de entrenamiento: 0,233737
Iteración 21	 Error de entrenamiento: 0,230765
Iteración 22	 Error de entrenamiento: 0,227865
Iteración 23	 Error de entrenamiento: 0,225035
Iteración 24	 Error de entrenamiento: 0,222276
Iteración 25	 Error de entrenamiento: 0,219584
Iteración 26	 Error de entrenamiento: 0,216959
Iteración 27	 Error de entrenamiento: 0,214398
Iteración 28	 Error de entrenamiento: 0,211901
Iteración 29	 Error de entrenamiento: 0,209464
Iteración 30	 Error de entrenamiento: 0,207087
Iteración 31	 Error de entrenamiento: 0,204768
Iteración 32	 Error de entrenamiento: 0,202505
Iteración 33	 Error de entrenamiento: 0,200295
Iteración 34	 Error de entrenamiento: 0,198138
Iteración 35	 Error de entrenamiento: 0,196031
Iteración 36	 Error de entrenamiento: 0,193974
Iteración 37	 Error de entrenamiento: 0,191963
Iteración 38	 Error de entrenamiento: 0,189999
Iteración 39	 Error de entrenamiento: 0,188079
Iteración 40	 Error de entrenamiento: 0,186201
Iteración 41	 Error de entrenamiento: 0,184365
Iteración 42	 Error de entrenamiento: 0,182569
Iteración 43	 Error de entrenamiento: 0,180811
Iteración 44	 Error de entrenamiento: 0,179091
Iteración 45	 Error de entrenamiento: 0,177407
Iteración 46	 Error de entrenamiento: 0,175758
Iteración 47	 Error de entrenamiento: 0,174142
