**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.355706
Iteración 2	 Error de entrenamiento: 0.329412
Iteración 3	 Error de entrenamiento: 0.233326
Iteración 4	 Error de entrenamiento: 0.199719
Iteración 5	 Error de entrenamiento: 0.187137
Iteración 6	 Error de entrenamiento: 0.172014
Iteración 7	 Error de entrenamiento: 0.156396
Iteración 8	 Error de entrenamiento: 0.148137
Iteración 9	 Error de entrenamiento: 0.147429
Iteración 10	 Error de entrenamiento: 0.144191
Iteración 11	 Error de entrenamiento: 0.134547
Iteración 12	 Error de entrenamiento: 0.121838
Iteración 13	 Error de entrenamiento: 0.111447
Iteración 14	 Error de entrenamiento: 0.105342
Iteración 15	 Error de entrenamiento: 0.100694
Iteración 16	 Error de entrenamiento: 0.095157
Iteración 17	 Error de entrenamiento: 0.0904152
Iteración 18	 Error de entrenamiento: 0.0862935
Iteración 19	 Error de entrenamiento: 0.0827629
Iteración 20	 Error de entrenamiento: 0.0814577
Iteración 21	 Error de entrenamiento: 0.0827339
Iteración 22	 Error de entrenamiento: 0.0838957
Iteración 23	 Error de entrenamiento: 0.0834541
Iteración 24	 Error de entrenamiento: 0.0817844
Iteración 25	 Error de entrenamiento: 0.0791534
Iteración 26	 Error de entrenamiento: 0.0755579
Iteración 27	 Error de entrenamiento: 0.0714953
Iteración 28	 Error de entrenamiento: 0.0690153
Iteración 29	 Error de entrenamiento: 0.0693637
Iteración 30	 Error de entrenamiento: 0.0686796
Iteración 31	 Error de entrenamiento: 0.0681552
Iteración 32	 Error de entrenamiento: 0.0689361
Iteración 33	 Error de entrenamiento: 0.068234
Iteración 34	 Error de entrenamiento: 0.067217
Iteración 35	 Error de entrenamiento: 0.0661422
Iteración 36	 Error de entrenamiento: 0.0637471
Iteración 37	 Error de entrenamiento: 0.0616132
Iteración 38	 Error de entrenamiento: 0.0594706
Iteración 39	 Error de entrenamiento: 0.0578846
Iteración 40	 Error de entrenamiento: 0.0576633
Iteración 41	 Error de entrenamiento: 0.0583397
Iteración 42	 Error de entrenamiento: 0.0589379
Iteración 43	 Error de entrenamiento: 0.058957
Iteración 44	 Error de entrenamiento: 0.0583404
Iteración 45	 Error de entrenamiento: 0.0570123
Iteración 46	 Error de entrenamiento: 0.0550946
Iteración 47	 Error de entrenamiento: 0.0531127
Iteración 48	 Error de entrenamiento: 0.0518422
Iteración 49	 Error de entrenamiento: 0.0516211
Iteración 50	 Error de entrenamiento: 0.0518081
Iteración 51	 Error de entrenamiento: 0.0518786
Iteración 52	 Error de entrenamiento: 0.052205
Iteración 53	 Error de entrenamiento: 0.0523468
Iteración 54	 Error de entrenamiento: 0.0518567
Iteración 55	 Error de entrenamiento: 0.0511775
Iteración 56	 Error de entrenamiento: 0.0502776
Iteración 57	 Error de entrenamiento: 0.0490891
Iteración 58	 Error de entrenamiento: 0.0480216
Iteración 59	 Error de entrenamiento: 0.0473566
Iteración 60	 Error de entrenamiento: 0.0472156
Iteración 61	 Error de entrenamiento: 0.0475277
Iteración 62	 Error de entrenamiento: 0.0479671
Iteración 63	 Error de entrenamiento: 0.0481164
Iteración 64	 Error de entrenamiento: 0.0477821
Iteración 65	 Error de entrenamiento: 0.0470954
Iteración 66	 Error de entrenamiento: 0.046241
Iteración 67	 Error de entrenamiento: 0.0453403
Iteración 68	 Error de entrenamiento: 0.0445595
Iteración 69	 Error de entrenamiento: 0.0441224
Iteración 70	 Error de entrenamiento: 0.0441316
Iteración 71	 Error de entrenamiento: 0.0444268
Iteración 72	 Error de entrenamiento: 0.0446703
Iteración 73	 Error de entrenamiento: 0.0446612
Iteración 74	 Error de entrenamiento: 0.0445289
Iteración 75	 Error de entrenamiento: 0.0443906
Iteración 76	 Error de entrenamiento: 0.0440762
Iteración 77	 Error de entrenamiento: 0.0435158
Iteración 78	 Error de entrenamiento: 0.0429413
Iteración 79	 Error de entrenamiento: 0.0425662
Iteración 80	 Error de entrenamiento: 0.0424424
Iteración 81	 Error de entrenamiento: 0.0424921
Iteración 82	 Error de entrenamiento: 0.0425533
Iteración 83	 Error de entrenamiento: 0.0424922
Iteración 84	 Error de entrenamiento: 0.0423149
Iteración 85	 Error de entrenamiento: 0.042144
Iteración 86	 Error de entrenamiento: 0.0419986
Iteración 87	 Error de entrenamiento: 0.0417133
Iteración 88	 Error de entrenamiento: 0.0412624
Iteración 89	 Error de entrenamiento: 0.0408304
Iteración 90	 Error de entrenamiento: 0.0405471
Iteración 91	 Error de entrenamiento: 0.040413
Iteración 92	 Error de entrenamiento: 0.0403623
Iteración 93	 Error de entrenamiento: 0.0403397
Iteración 94	 Error de entrenamiento: 0.0403277
Iteración 95	 Error de entrenamiento: 0.0403116
Iteración 96	 Error de entrenamiento: 0.040275
Iteración 97	 Error de entrenamiento: 0.0402163
Iteración 98	 Error de entrenamiento: 0.0401347
Iteración 99	 Error de entrenamiento: 0.0400193
Iteración 100	 Error de entrenamiento: 0.039862
Iteración 101	 Error de entrenamiento: 0.03967
Iteración 102	 Error de entrenamiento: 0.0394687
Iteración 103	 Error de entrenamiento: 0.0392982
Iteración 104	 Error de entrenamiento: 0.0391932
Iteración 105	 Error de entrenamiento: 0.0391505
Iteración 106	 Error de entrenamiento: 0.039126
Iteración 107	 Error de entrenamiento: 0.0390701
Iteración 108	 Error de entrenamiento: 0.0389611
Iteración 109	 Error de entrenamiento: 0.0388179
Iteración 110	 Error de entrenamiento: 0.0386833
Iteración 111	 Error de entrenamiento: 0.0385691
Iteración 112	 Error de entrenamiento: 0.0384379
Iteración 113	 Error de entrenamiento: 0.0382661
Iteración 114	 Error de entrenamiento: 0.0380799
Iteración 115	 Error de entrenamiento: 0.0379179
Iteración 116	 Error de entrenamiento: 0.0377991
Iteración 117	 Error de entrenamiento: 0.0377135
Iteración 118	 Error de entrenamiento: 0.0376385
Iteración 119	 Error de entrenamiento: 0.0375629
Iteración 120	 Error de entrenamiento: 0.0374867
Iteración 121	 Error de entrenamiento: 0.03741
Iteración 122	 Error de entrenamiento: 0.0373347
Iteración 123	 Error de entrenamiento: 0.0372615
Iteración 124	 Error de entrenamiento: 0.0371849
Iteración 125	 Error de entrenamiento: 0.0370984
Iteración 126	 Error de entrenamiento: 0.0369992
Iteración 127	 Error de entrenamiento: 0.0368879
Iteración 128	 Error de entrenamiento: 0.0367679
Iteración 129	 Error de entrenamiento: 0.0366468
Iteración 130	 Error de entrenamiento: 0.0365315
Iteración 131	 Error de entrenamiento: 0.0364237
Iteración 132	 Error de entrenamiento: 0.0363212
Iteración 133	 Error de entrenamiento: 0.036219
Iteración 134	 Error de entrenamiento: 0.0361132
Iteración 135	 Error de entrenamiento: 0.0360041
Iteración 136	 Error de entrenamiento: 0.0358963
Iteración 137	 Error de entrenamiento: 0.0357905
Iteración 138	 Error de entrenamiento: 0.0356818
Iteración 139	 Error de entrenamiento: 0.0355645
Iteración 140	 Error de entrenamiento: 0.0354392
Iteración 141	 Error de entrenamiento: 0.0353122
Iteración 142	 Error de entrenamiento: 0.0351899
Iteración 143	 Error de entrenamiento: 0.035073
Iteración 144	 Error de entrenamiento: 0.0349568
Iteración 145	 Error de entrenamiento: 0.0348377
Iteración 146	 Error de entrenamiento: 0.0347164
Iteración 147	 Error de entrenamiento: 0.0345964
Iteración 148	 Error de entrenamiento: 0.0344812
Iteración 149	 Error de entrenamiento: 0.0343718
Iteración 150	 Error de entrenamiento: 0.0342665
Iteración 151	 Error de entrenamiento: 0.0341632
Iteración 152	 Error de entrenamiento: 0.0340618
Iteración 153	 Error de entrenamiento: 0.0339635
Iteración 154	 Error de entrenamiento: 0.0338692
Iteración 155	 Error de entrenamiento: 0.0337785
Iteración 156	 Error de entrenamiento: 0.0336896
Iteración 157	 Error de entrenamiento: 0.0336005
Iteración 158	 Error de entrenamiento: 0.03351
Iteración 159	 Error de entrenamiento: 0.0334185
Iteración 160	 Error de entrenamiento: 0.0333267
Iteración 161	 Error de entrenamiento: 0.0332354
Iteración 162	 Error de entrenamiento: 0.0331447
Iteración 163	 Error de entrenamiento: 0.0330537
Iteración 164	 Error de entrenamiento: 0.0329619
Iteración 165	 Error de entrenamiento: 0.0328689
Iteración 166	 Error de entrenamiento: 0.0327754
Iteración 167	 Error de entrenamiento: 0.0326816
Iteración 168	 Error de entrenamiento: 0.0325878
Iteración 169	 Error de entrenamiento: 0.0324934
Iteración 170	 Error de entrenamiento: 0.0323979
Iteración 171	 Error de entrenamiento: 0.0323008
Iteración 172	 Error de entrenamiento: 0.0322022
Iteración 173	 Error de entrenamiento: 0.0321024
Iteración 174	 Error de entrenamiento: 0.0320018
Iteración 175	 Error de entrenamiento: 0.0319005
Iteración 176	 Error de entrenamiento: 0.0317984
Iteración 177	 Error de entrenamiento: 0.0316956
Iteración 178	 Error de entrenamiento: 0.0315924
Iteración 179	 Error de entrenamiento: 0.031489
Iteración 180	 Error de entrenamiento: 0.0313855
Iteración 181	 Error de entrenamiento: 0.031282
Iteración 182	 Error de entrenamiento: 0.0311779
Iteración 183	 Error de entrenamiento: 0.0310734
Iteración 184	 Error de entrenamiento: 0.0309683
Iteración 185	 Error de entrenamiento: 0.0308629
Iteración 186	 Error de entrenamiento: 0.0307573
Iteración 187	 Error de entrenamiento: 0.0306517
Iteración 188	 Error de entrenamiento: 0.030546
Iteración 189	 Error de entrenamiento: 0.0304406
Iteración 190	 Error de entrenamiento: 0.0303356
Iteración 191	 Error de entrenamiento: 0.0302311
Iteración 192	 Error de entrenamiento: 0.0301271
Iteración 193	 Error de entrenamiento: 0.0300235
Iteración 194	 Error de entrenamiento: 0.0299203
Iteración 195	 Error de entrenamiento: 0.0298173
Iteración 196	 Error de entrenamiento: 0.0297147
Iteración 197	 Error de entrenamiento: 0.0296123
Iteración 198	 Error de entrenamiento: 0.0295102
Iteración 199	 Error de entrenamiento: 0.0294084
Iteración 200	 Error de entrenamiento: 0.0293068
Iteración 201	 Error de entrenamiento: 0.0292055
Iteración 202	 Error de entrenamiento: 0.0291046
Iteración 203	 Error de entrenamiento: 0.0290041
Iteración 204	 Error de entrenamiento: 0.0289041
