**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,325786
Iteración 2	 Error de entrenamiento: 0,318851
Iteración 3	 Error de entrenamiento: 0,311701
Iteración 4	 Error de entrenamiento: 0,304561
Iteración 5	 Error de entrenamiento: 0,297554
Iteración 6	 Error de entrenamiento: 0,290772
Iteración 7	 Error de entrenamiento: 0,284268
Iteración 8	 Error de entrenamiento: 0,278058
Iteración 9	 Error de entrenamiento: 0,272122
Iteración 10	 Error de entrenamiento: 0,266417
Iteración 11	 Error de entrenamiento: 0,26088
Iteración 12	 Error de entrenamiento: 0,255444
Iteración 13	 Error de entrenamiento: 0,250044
Iteración 14	 Error de entrenamiento: 0,244628
Iteración 15	 Error de entrenamiento: 0,239157
Iteración 16	 Error de entrenamiento: 0,233613
Iteración 17	 Error de entrenamiento: 0,227991
Iteración 18	 Error de entrenamiento: 0,222306
Iteración 19	 Error de entrenamiento: 0,216579
Iteración 20	 Error de entrenamiento: 0,210841
Iteración 21	 Error de entrenamiento: 0,205126
Iteración 22	 Error de entrenamiento: 0,199467
Iteración 23	 Error de entrenamiento: 0,193894
Iteración 24	 Error de entrenamiento: 0,188436
Iteración 25	 Error de entrenamiento: 0,183113
Iteración 26	 Error de entrenamiento: 0,177942
Iteración 27	 Error de entrenamiento: 0,172936
Iteración 28	 Error de entrenamiento: 0,168101
Iteración 29	 Error de entrenamiento: 0,163444
Iteración 30	 Error de entrenamiento: 0,158966
Iteración 31	 Error de entrenamiento: 0,154668
Iteración 32	 Error de entrenamiento: 0,150547
Iteración 33	 Error de entrenamiento: 0,146603
Iteración 34	 Error de entrenamiento: 0,142832
Iteración 35	 Error de entrenamiento: 0,139232
Iteración 36	 Error de entrenamiento: 0,1358
Iteración 37	 Error de entrenamiento: 0,132533
Iteración 38	 Error de entrenamiento: 0,129428
Iteración 39	 Error de entrenamiento: 0,126483
Iteración 40	 Error de entrenamiento: 0,123695
Iteración 41	 Error de entrenamiento: 0,121061
Iteración 42	 Error de entrenamiento: 0,118579
