**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 1,10319
Iteración 2	 Error de entrenamiento: 0,408937
Iteración 3	 Error de entrenamiento: 0,433103
Iteración 4	 Error de entrenamiento: 0,358029
Iteración 5	 Error de entrenamiento: 0,299388
Iteración 6	 Error de entrenamiento: 0,300837
Iteración 7	 Error de entrenamiento: 0,264972
Iteración 8	 Error de entrenamiento: 0,266679
Iteración 9	 Error de entrenamiento: 0,24253
Iteración 10	 Error de entrenamiento: 0,235716
Iteración 11	 Error de entrenamiento: 0,22322
Iteración 12	 Error de entrenamiento: 0,216601
Iteración 13	 Error de entrenamiento: 0,20778
Iteración 14	 Error de entrenamiento: 0,198601
Iteración 15	 Error de entrenamiento: 0,191773
Iteración 16	 Error de entrenamiento: 0,184866
Iteración 17	 Error de entrenamiento: 0,179308
Iteración 18	 Error de entrenamiento: 0,172
Iteración 19	 Error de entrenamiento: 0,166619
Iteración 20	 Error de entrenamiento: 0,161077
Iteración 21	 Error de entrenamiento: 0,156545
Iteración 22	 Error de entrenamiento: 0,151105
Iteración 23	 Error de entrenamiento: 0,146455
Iteración 24	 Error de entrenamiento: 0,142045
Iteración 25	 Error de entrenamiento: 0,138127
Iteración 26	 Error de entrenamiento: 0,133981
Iteración 27	 Error de entrenamiento: 0,130023
Iteración 28	 Error de entrenamiento: 0,126385
Iteración 29	 Error de entrenamiento: 0,123007
Iteración 30	 Error de entrenamiento: 0,119682
Iteración 31	 Error de entrenamiento: 0,116397
Iteración 32	 Error de entrenamiento: 0,113321
Iteración 33	 Error de entrenamiento: 0,110432
Iteración 34	 Error de entrenamiento: 0,107658
Iteración 35	 Error de entrenamiento: 0,104943
Iteración 36	 Error de entrenamiento: 0,102341
Iteración 37	 Error de entrenamiento: 0,0998751
Iteración 38	 Error de entrenamiento: 0,0975222
Iteración 39	 Error de entrenamiento: 0,0952501
Iteración 40	 Error de entrenamiento: 0,093059
Iteración 41	 Error de entrenamiento: 0,090963
Iteración 42	 Error de entrenamiento: 0,0889605
Iteración 43	 Error de entrenamiento: 0,0870394
Iteración 44	 Error de entrenamiento: 0,0851919
Iteración 45	 Error de entrenamiento: 0,083418
Iteración 46	 Error de entrenamiento: 0,0817185
Iteración 47	 Error de entrenamiento: 0,0800904
Iteración 48	 Error de entrenamiento: 0,0785291
Iteración 49	 Error de entrenamiento: 0,0770315
Iteración 50	 Error de entrenamiento: 0,0755962
Iteración 51	 Error de entrenamiento: 0,0742217
Iteración 52	 Error de entrenamiento: 0,0729058
Iteración 53	 Error de entrenamiento: 0,0716463
Iteración 54	 Error de entrenamiento: 0,0704413
Iteración 55	 Error de entrenamiento: 0,0692893
Iteración 56	 Error de entrenamiento: 0,0681886
Iteración 57	 Error de entrenamiento: 0,0671376
Iteración 58	 Error de entrenamiento: 0,0661349
Iteración 59	 Error de entrenamiento: 0,0651787
Iteración 60	 Error de entrenamiento: 0,0642678
Iteración 61	 Error de entrenamiento: 0,0634006
Iteración 62	 Error de entrenamiento: 0,0625757
Iteración 63	 Error de entrenamiento: 0,0617917
Iteración 64	 Error de entrenamiento: 0,0610472
Iteración 65	 Error de entrenamiento: 0,0603408
Iteración 66	 Error de entrenamiento: 0,0596711
Iteración 67	 Error de entrenamiento: 0,0590367
Iteración 68	 Error de entrenamiento: 0,0584362
Iteración 69	 Error de entrenamiento: 0,0578683
Iteración 70	 Error de entrenamiento: 0,0573317
Iteración 71	 Error de entrenamiento: 0,056825
Iteración 72	 Error de entrenamiento: 0,0563469
Iteración 73	 Error de entrenamiento: 0,0558961
Iteración 74	 Error de entrenamiento: 0,0554714
Iteración 75	 Error de entrenamiento: 0,0550715
Iteración 76	 Error de entrenamiento: 0,0546952
Iteración 77	 Error de entrenamiento: 0,0543413
Iteración 78	 Error de entrenamiento: 0,0540088
Iteración 79	 Error de entrenamiento: 0,0536964
Iteración 80	 Error de entrenamiento: 0,0534031
Iteración 81	 Error de entrenamiento: 0,0531279
Iteración 82	 Error de entrenamiento: 0,0528697
Iteración 83	 Error de entrenamiento: 0,0526277
Iteración 84	 Error de entrenamiento: 0,0524008
Iteración 85	 Error de entrenamiento: 0,0521882
Iteración 86	 Error de entrenamiento: 0,0519891
Iteración 87	 Error de entrenamiento: 0,0518025
Iteración 88	 Error de entrenamiento: 0,0516278
Iteración 89	 Error de entrenamiento: 0,0514643
Iteración 90	 Error de entrenamiento: 0,0513111
Iteración 91	 Error de entrenamiento: 0,0511676
Iteración 92	 Error de entrenamiento: 0,0510333
Iteración 93	 Error de entrenamiento: 0,0509074
Iteración 94	 Error de entrenamiento: 0,0507895
Iteración 95	 Error de entrenamiento: 0,0506789
Iteración 96	 Error de entrenamiento: 0,0505752
Iteración 97	 Error de entrenamiento: 0,0504779
Iteración 98	 Error de entrenamiento: 0,0503866
Iteración 99	 Error de entrenamiento: 0,0503007
Iteración 100	 Error de entrenamiento: 0,0502199
Iteración 101	 Error de entrenamiento: 0,0501439
Iteración 102	 Error de entrenamiento: 0,0500722
Iteración 103	 Error de entrenamiento: 0,0500046
Iteración 104	 Error de entrenamiento: 0,0499407
Iteración 105	 Error de entrenamiento: 0,0498802
Iteración 106	 Error de entrenamiento: 0,0498228
Iteración 107	 Error de entrenamiento: 0,0497684
Iteración 108	 Error de entrenamiento: 0,0497166
Iteración 109	 Error de entrenamiento: 0,0496673
Iteración 110	 Error de entrenamiento: 0,0496201
Iteración 111	 Error de entrenamiento: 0,0495751
Iteración 112	 Error de entrenamiento: 0,0495318
Iteración 113	 Error de entrenamiento: 0,0494903
Iteración 114	 Error de entrenamiento: 0,0494503
Iteración 115	 Error de entrenamiento: 0,0494116
Iteración 116	 Error de entrenamiento: 0,0493743
Iteración 117	 Error de entrenamiento: 0,049338
Iteración 118	 Error de entrenamiento: 0,0493028
Iteración 119	 Error de entrenamiento: 0,0492685
Iteración 120	 Error de entrenamiento: 0,049235
Iteración 121	 Error de entrenamiento: 0,0492023
Iteración 122	 Error de entrenamiento: 0,0491701
Iteración 123	 Error de entrenamiento: 0,0491386
Iteración 124	 Error de entrenamiento: 0,0491076
Iteración 125	 Error de entrenamiento: 0,049077
Iteración 126	 Error de entrenamiento: 0,0490468
Iteración 127	 Error de entrenamiento: 0,0490169
Iteración 128	 Error de entrenamiento: 0,0489873
Iteración 129	 Error de entrenamiento: 0,0489579
Iteración 130	 Error de entrenamiento: 0,0489287
Iteración 131	 Error de entrenamiento: 0,0488997
Iteración 132	 Error de entrenamiento: 0,0488708
Iteración 133	 Error de entrenamiento: 0,048842
Iteración 134	 Error de entrenamiento: 0,0488133
Iteración 135	 Error de entrenamiento: 0,0487846
Iteración 136	 Error de entrenamiento: 0,048756
Iteración 137	 Error de entrenamiento: 0,0487273
Iteración 138	 Error de entrenamiento: 0,0486987
Iteración 139	 Error de entrenamiento: 0,04867
Iteración 140	 Error de entrenamiento: 0,0486413
Iteración 141	 Error de entrenamiento: 0,0486125
Iteración 142	 Error de entrenamiento: 0,0485837
Iteración 143	 Error de entrenamiento: 0,0485548
Iteración 144	 Error de entrenamiento: 0,0485259
Iteración 145	 Error de entrenamiento: 0,0484968
Iteración 146	 Error de entrenamiento: 0,0484677
Iteración 147	 Error de entrenamiento: 0,0484385
