**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.371612
Iteración 2	 Error de entrenamiento: 0.330641
Iteración 3	 Error de entrenamiento: 0.325212
Iteración 4	 Error de entrenamiento: 0.328797
Iteración 5	 Error de entrenamiento: 0.297802
Iteración 6	 Error de entrenamiento: 0.287815
Iteración 7	 Error de entrenamiento: 0.294641
Iteración 8	 Error de entrenamiento: 0.292737
Iteración 9	 Error de entrenamiento: 0.28086
Iteración 10	 Error de entrenamiento: 0.272604
Iteración 11	 Error de entrenamiento: 0.268288
Iteración 12	 Error de entrenamiento: 0.268095
Iteración 13	 Error de entrenamiento: 0.265648
Iteración 14	 Error de entrenamiento: 0.260944
Iteración 15	 Error de entrenamiento: 0.256426
Iteración 16	 Error de entrenamiento: 0.2524
Iteración 17	 Error de entrenamiento: 0.250769
Iteración 18	 Error de entrenamiento: 0.248149
Iteración 19	 Error de entrenamiento: 0.245905
Iteración 20	 Error de entrenamiento: 0.24315
Iteración 21	 Error de entrenamiento: 0.239872
Iteración 22	 Error de entrenamiento: 0.237441
Iteración 23	 Error de entrenamiento: 0.235261
Iteración 24	 Error de entrenamiento: 0.233009
Iteración 25	 Error de entrenamiento: 0.230893
Iteración 26	 Error de entrenamiento: 0.228683
Iteración 27	 Error de entrenamiento: 0.226548
Iteración 28	 Error de entrenamiento: 0.224536
Iteración 29	 Error de entrenamiento: 0.222206
Iteración 30	 Error de entrenamiento: 0.22001
Iteración 31	 Error de entrenamiento: 0.217967
Iteración 32	 Error de entrenamiento: 0.215819
Iteración 33	 Error de entrenamiento: 0.213831
Iteración 34	 Error de entrenamiento: 0.211846
Iteración 35	 Error de entrenamiento: 0.209936
Iteración 36	 Error de entrenamiento: 0.207983
Iteración 37	 Error de entrenamiento: 0.206042
Iteración 38	 Error de entrenamiento: 0.204255
Iteración 39	 Error de entrenamiento: 0.202394
Iteración 40	 Error de entrenamiento: 0.200614
Iteración 41	 Error de entrenamiento: 0.198875
Iteración 42	 Error de entrenamiento: 0.197112
Iteración 43	 Error de entrenamiento: 0.19546
Iteración 44	 Error de entrenamiento: 0.193759
Iteración 45	 Error de entrenamiento: 0.19214
Iteración 46	 Error de entrenamiento: 0.190478
Iteración 47	 Error de entrenamiento: 0.188786
Iteración 48	 Error de entrenamiento: 0.187185
Iteración 49	 Error de entrenamiento: 0.185641
Iteración 50	 Error de entrenamiento: 0.184336
Iteración 51	 Error de entrenamiento: 0.183122
Iteración 52	 Error de entrenamiento: 0.181846
Iteración 53	 Error de entrenamiento: 0.18058
Iteración 54	 Error de entrenamiento: 0.179322
Iteración 55	 Error de entrenamiento: 0.178063
Iteración 56	 Error de entrenamiento: 0.176891
Iteración 57	 Error de entrenamiento: 0.175695
Iteración 58	 Error de entrenamiento: 0.174537
Iteración 59	 Error de entrenamiento: 0.173422
Iteración 60	 Error de entrenamiento: 0.172303
Iteración 61	 Error de entrenamiento: 0.171205
Iteración 62	 Error de entrenamiento: 0.170129
Iteración 63	 Error de entrenamiento: 0.169043
Iteración 64	 Error de entrenamiento: 0.16798
Iteración 65	 Error de entrenamiento: 0.166928
Iteración 66	 Error de entrenamiento: 0.165866
Iteración 67	 Error de entrenamiento: 0.16482
Iteración 68	 Error de entrenamiento: 0.163783
Iteración 69	 Error de entrenamiento: 0.162751
Iteración 70	 Error de entrenamiento: 0.161732
Iteración 71	 Error de entrenamiento: 0.160722
Iteración 72	 Error de entrenamiento: 0.159725
Iteración 73	 Error de entrenamiento: 0.158741
Iteración 74	 Error de entrenamiento: 0.157771
Iteración 75	 Error de entrenamiento: 0.156819
Iteración 76	 Error de entrenamiento: 0.155881
Iteración 77	 Error de entrenamiento: 0.154957
Iteración 78	 Error de entrenamiento: 0.15405
Iteración 79	 Error de entrenamiento: 0.153159
