**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,45183
Iteración 2	 Error de entrenamiento: 0,440686
Iteración 3	 Error de entrenamiento: 0,425402
Iteración 4	 Error de entrenamiento: 0,403955
Iteración 5	 Error de entrenamiento: 0,375307
Iteración 6	 Error de entrenamiento: 0,342186
Iteración 7	 Error de entrenamiento: 0,313162
Iteración 8	 Error de entrenamiento: 0,295052
Iteración 9	 Error de entrenamiento: 0,285521
Iteración 10	 Error de entrenamiento: 0,279506
Iteración 11	 Error de entrenamiento: 0,274673
Iteración 12	 Error de entrenamiento: 0,270719
Iteración 13	 Error de entrenamiento: 0,267848
Iteración 14	 Error de entrenamiento: 0,266116
Iteración 15	 Error de entrenamiento: 0,265363
Iteración 16	 Error de entrenamiento: 0,26533
Iteración 17	 Error de entrenamiento: 0,26575
Iteración 18	 Error de entrenamiento: 0,266389
Iteración 19	 Error de entrenamiento: 0,267071
Iteración 20	 Error de entrenamiento: 0,267673
Iteración 21	 Error de entrenamiento: 0,268123
Iteración 22	 Error de entrenamiento: 0,268387
Iteración 23	 Error de entrenamiento: 0,268462
Iteración 24	 Error de entrenamiento: 0,26836
Iteración 25	 Error de entrenamiento: 0,268103
Iteración 26	 Error de entrenamiento: 0,267716
Iteración 27	 Error de entrenamiento: 0,267223
Iteración 28	 Error de entrenamiento: 0,266646
Iteración 29	 Error de entrenamiento: 0,266001
Iteración 30	 Error de entrenamiento: 0,265305
Iteración 31	 Error de entrenamiento: 0,264567
Iteración 32	 Error de entrenamiento: 0,263797
Iteración 33	 Error de entrenamiento: 0,263
Iteración 34	 Error de entrenamiento: 0,26218
Iteración 35	 Error de entrenamiento: 0,26134
Iteración 36	 Error de entrenamiento: 0,260481
Iteración 37	 Error de entrenamiento: 0,259603
Iteración 38	 Error de entrenamiento: 0,258704
Iteración 39	 Error de entrenamiento: 0,257781
Iteración 40	 Error de entrenamiento: 0,256831
Iteración 41	 Error de entrenamiento: 0,255849
Iteración 42	 Error de entrenamiento: 0,254828
Iteración 43	 Error de entrenamiento: 0,25376
Iteración 44	 Error de entrenamiento: 0,252637
Iteración 45	 Error de entrenamiento: 0,251445
Iteración 46	 Error de entrenamiento: 0,25017
Iteración 47	 Error de entrenamiento: 0,248794
Iteración 48	 Error de entrenamiento: 0,247295
Iteración 49	 Error de entrenamiento: 0,245647
Iteración 50	 Error de entrenamiento: 0,243814
Iteración 51	 Error de entrenamiento: 0,241754
Iteración 52	 Error de entrenamiento: 0,239414
Iteración 53	 Error de entrenamiento: 0,236725
Iteración 54	 Error de entrenamiento: 0,233604
Iteración 55	 Error de entrenamiento: 0,229944
Iteración 56	 Error de entrenamiento: 0,225618
Iteración 57	 Error de entrenamiento: 0,220479
Iteración 58	 Error de entrenamiento: 0,214369
Iteración 59	 Error de entrenamiento: 0,207149
Iteración 60	 Error de entrenamiento: 0,198753
Iteración 61	 Error de entrenamiento: 0,189258
Iteración 62	 Error de entrenamiento: 0,17896
Iteración 63	 Error de entrenamiento: 0,168357
Iteración 64	 Error de entrenamiento: 0,158036
Iteración 65	 Error de entrenamiento: 0,148498
Iteración 66	 Error de entrenamiento: 0,14009
Iteración 67	 Error de entrenamiento: 0,133033
Iteración 68	 Error de entrenamiento: 0,127432
Iteración 69	 Error de entrenamiento: 0,123245
Iteración 70	 Error de entrenamiento: 0,120278
Iteración 71	 Error de entrenamiento: 0,118229
Iteración 72	 Error de entrenamiento: 0,116748
Iteración 73	 Error de entrenamiento: 0,115492
Iteración 74	 Error de entrenamiento: 0,114171
Iteración 75	 Error de entrenamiento: 0,112566
Iteración 76	 Error de entrenamiento: 0,110538
Iteración 77	 Error de entrenamiento: 0,108031
Iteración 78	 Error de entrenamiento: 0,105056
Iteración 79	 Error de entrenamiento: 0,101684
Iteración 80	 Error de entrenamiento: 0,0980225
Iteración 81	 Error de entrenamiento: 0,0942082
Iteración 82	 Error de entrenamiento: 0,0903831
Iteración 83	 Error de entrenamiento: 0,0866824
Iteración 84	 Error de entrenamiento: 0,0832211
Iteración 85	 Error de entrenamiento: 0,0800858
Iteración 86	 Error de entrenamiento: 0,0773303
Iteración 87	 Error de entrenamiento: 0,0749764
Iteración 88	 Error de entrenamiento: 0,0730175
Iteración 89	 Error de entrenamiento: 0,0714243
Iteración 90	 Error de entrenamiento: 0,0701526
Iteración 91	 Error de entrenamiento: 0,069149
Iteración 92	 Error de entrenamiento: 0,0683578
Iteración 93	 Error de entrenamiento: 0,0677252
Iteración 94	 Error de entrenamiento: 0,0672024
Iteración 95	 Error de entrenamiento: 0,0667485
Iteración 96	 Error de entrenamiento: 0,0663306
Iteración 97	 Error de entrenamiento: 0,0659248
Iteración 98	 Error de entrenamiento: 0,065515
Iteración 99	 Error de entrenamiento: 0,0650927
Iteración 100	 Error de entrenamiento: 0,0646553
Iteración 101	 Error de entrenamiento: 0,0642048
Iteración 102	 Error de entrenamiento: 0,0637466
Iteración 103	 Error de entrenamiento: 0,0632882
Iteración 104	 Error de entrenamiento: 0,0628381
Iteración 105	 Error de entrenamiento: 0,0624048
Iteración 106	 Error de entrenamiento: 0,0619959
Iteración 107	 Error de entrenamiento: 0,0616179
Iteración 108	 Error de entrenamiento: 0,0612759
Iteración 109	 Error de entrenamiento: 0,0609731
Iteración 110	 Error de entrenamiento: 0,0607112
Iteración 111	 Error de entrenamiento: 0,0604904
Iteración 112	 Error de entrenamiento: 0,0603095
Iteración 113	 Error de entrenamiento: 0,0601663
Iteración 114	 Error de entrenamiento: 0,0600579
Iteración 115	 Error de entrenamiento: 0,0599807
Iteración 116	 Error de entrenamiento: 0,0599308
Iteración 117	 Error de entrenamiento: 0,0599044
Iteración 118	 Error de entrenamiento: 0,0598975
Iteración 119	 Error de entrenamiento: 0,0599063
Iteración 120	 Error de entrenamiento: 0,0599275
Iteración 121	 Error de entrenamiento: 0,0599578
Iteración 122	 Error de entrenamiento: 0,0599945
Iteración 123	 Error de entrenamiento: 0,0600351
Iteración 124	 Error de entrenamiento: 0,0600773
Iteración 125	 Error de entrenamiento: 0,0601193
Iteración 126	 Error de entrenamiento: 0,0601594
Iteración 127	 Error de entrenamiento: 0,0601962
Iteración 128	 Error de entrenamiento: 0,0602285
Iteración 129	 Error de entrenamiento: 0,060255
Iteración 130	 Error de entrenamiento: 0,0602748
Iteración 131	 Error de entrenamiento: 0,060287
Iteración 132	 Error de entrenamiento: 0,0602907
Iteración 133	 Error de entrenamiento: 0,0602851
Iteración 134	 Error de entrenamiento: 0,0602694
Iteración 135	 Error de entrenamiento: 0,060243
Iteración 136	 Error de entrenamiento: 0,0602052
Iteración 137	 Error de entrenamiento: 0,0601553
Iteración 138	 Error de entrenamiento: 0,0600926
Iteración 139	 Error de entrenamiento: 0,0600166
Iteración 140	 Error de entrenamiento: 0,0599268
Iteración 141	 Error de entrenamiento: 0,0598225
Iteración 142	 Error de entrenamiento: 0,0597034
Iteración 143	 Error de entrenamiento: 0,0595689
Iteración 144	 Error de entrenamiento: 0,0594188
Iteración 145	 Error de entrenamiento: 0,0592526
Iteración 146	 Error de entrenamiento: 0,0590701
Iteración 147	 Error de entrenamiento: 0,0588711
Iteración 148	 Error de entrenamiento: 0,0586554
Iteración 149	 Error de entrenamiento: 0,058423
Iteración 150	 Error de entrenamiento: 0,058174
Iteración 151	 Error de entrenamiento: 0,0579083
Iteración 152	 Error de entrenamiento: 0,0576262
Iteración 153	 Error de entrenamiento: 0,0573281
Iteración 154	 Error de entrenamiento: 0,0570144
Iteración 155	 Error de entrenamiento: 0,0566855
Iteración 156	 Error de entrenamiento: 0,0563422
Iteración 157	 Error de entrenamiento: 0,0559852
Iteración 158	 Error de entrenamiento: 0,0556155
Iteración 159	 Error de entrenamiento: 0,0552341
Iteración 160	 Error de entrenamiento: 0,0548421
Iteración 161	 Error de entrenamiento: 0,0544408
Iteración 162	 Error de entrenamiento: 0,0540317
Iteración 163	 Error de entrenamiento: 0,0536161
Iteración 164	 Error de entrenamiento: 0,0531957
Iteración 165	 Error de entrenamiento: 0,0527721
Iteración 166	 Error de entrenamiento: 0,052347
Iteración 167	 Error de entrenamiento: 0,0519219
Iteración 168	 Error de entrenamiento: 0,0514987
Iteración 169	 Error de entrenamiento: 0,0510788
Iteración 170	 Error de entrenamiento: 0,0506638
Iteración 171	 Error de entrenamiento: 0,0502552
Iteración 172	 Error de entrenamiento: 0,0498542
Iteración 173	 Error de entrenamiento: 0,0494619
Iteración 174	 Error de entrenamiento: 0,0490792
Iteración 175	 Error de entrenamiento: 0,0487066
Iteración 176	 Error de entrenamiento: 0,0483448
Iteración 177	 Error de entrenamiento: 0,0479937
Iteración 178	 Error de entrenamiento: 0,0476532
Iteración 179	 Error de entrenamiento: 0,047323
Iteración 180	 Error de entrenamiento: 0,0470024
Iteración 181	 Error de entrenamiento: 0,0466905
Iteración 182	 Error de entrenamiento: 0,0463861
Iteración 183	 Error de entrenamiento: 0,0460879
Iteración 184	 Error de entrenamiento: 0,0457943
Iteración 185	 Error de entrenamiento: 0,0455036
Iteración 186	 Error de entrenamiento: 0,045214
Iteración 187	 Error de entrenamiento: 0,0449237
Iteración 188	 Error de entrenamiento: 0,0446308
Iteración 189	 Error de entrenamiento: 0,0443334
Iteración 190	 Error de entrenamiento: 0,0440297
Iteración 191	 Error de entrenamiento: 0,0437181
Iteración 192	 Error de entrenamiento: 0,0433969
Iteración 193	 Error de entrenamiento: 0,0430649
Iteración 194	 Error de entrenamiento: 0,0427208
Iteración 195	 Error de entrenamiento: 0,0423638
Iteración 196	 Error de entrenamiento: 0,0419931
