**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,397701
Iteración 2	 Error de entrenamiento: 1,02913
Iteración 3	 Error de entrenamiento: 0,45181
Iteración 4	 Error de entrenamiento: 1,00925
Iteración 5	 Error de entrenamiento: 0,613128
Iteración 6	 Error de entrenamiento: 0,907575
Iteración 7	 Error de entrenamiento: 0,735072
Iteración 8	 Error de entrenamiento: 0,661747
Iteración 9	 Error de entrenamiento: 0,563376
Iteración 10	 Error de entrenamiento: 0,648331
Iteración 11	 Error de entrenamiento: 0,534835
Iteración 12	 Error de entrenamiento: 0,525517
Iteración 13	 Error de entrenamiento: 0,422698
Iteración 14	 Error de entrenamiento: 0,46831
Iteración 15	 Error de entrenamiento: 0,375061
Iteración 16	 Error de entrenamiento: 0,338559
Iteración 17	 Error de entrenamiento: 0,277524
Iteración 18	 Error de entrenamiento: 0,245266
Iteración 19	 Error de entrenamiento: 0,230422
Iteración 20	 Error de entrenamiento: 0,124587
Iteración 21	 Error de entrenamiento: 0,168978
Iteración 22	 Error de entrenamiento: 0,0623093
Iteración 23	 Error de entrenamiento: 0,120151
Iteración 24	 Error de entrenamiento: 0,0440845
Iteración 25	 Error de entrenamiento: 0,0573583
Iteración 26	 Error de entrenamiento: 0,042621
Iteración 27	 Error de entrenamiento: 0,0374993
Iteración 28	 Error de entrenamiento: 0,0377506
Iteración 29	 Error de entrenamiento: 0,0344479
Iteración 30	 Error de entrenamiento: 0,0331386
Iteración 31	 Error de entrenamiento: 0,0324815
Iteración 32	 Error de entrenamiento: 0,0319755
Iteración 33	 Error de entrenamiento: 0,0316776
Iteración 34	 Error de entrenamiento: 0,0314352
Iteración 35	 Error de entrenamiento: 0,0312653
Iteración 36	 Error de entrenamiento: 0,0312028
Iteración 37	 Error de entrenamiento: 0,0312362
Iteración 38	 Error de entrenamiento: 0,0313441
Iteración 39	 Error de entrenamiento: 0,0315091
Iteración 40	 Error de entrenamiento: 0,03172
Iteración 41	 Error de entrenamiento: 0,0319696
Iteración 42	 Error de entrenamiento: 0,0322509
Iteración 43	 Error de entrenamiento: 0,0325563
Iteración 44	 Error de entrenamiento: 0,0328779
Iteración 45	 Error de entrenamiento: 0,0332085
Iteración 46	 Error de entrenamiento: 0,0335416
Iteración 47	 Error de entrenamiento: 0,0338716
Iteración 48	 Error de entrenamiento: 0,0341933
Iteración 49	 Error de entrenamiento: 0,034502
Iteración 50	 Error de entrenamiento: 0,0347936
Iteración 51	 Error de entrenamiento: 0,0350646
Iteración 52	 Error de entrenamiento: 0,0353119
Iteración 53	 Error de entrenamiento: 0,0355331
Iteración 54	 Error de entrenamiento: 0,0357261
Iteración 55	 Error de entrenamiento: 0,0358893
Iteración 56	 Error de entrenamiento: 0,0360217
Iteración 57	 Error de entrenamiento: 0,0361225
Iteración 58	 Error de entrenamiento: 0,0361913
Iteración 59	 Error de entrenamiento: 0,0362281
Iteración 60	 Error de entrenamiento: 0,0362332
Iteración 61	 Error de entrenamiento: 0,0362071
Iteración 62	 Error de entrenamiento: 0,0361507
Iteración 63	 Error de entrenamiento: 0,0360648
Iteración 64	 Error de entrenamiento: 0,0359507
Iteración 65	 Error de entrenamiento: 0,0358098
Iteración 66	 Error de entrenamiento: 0,0356436
Iteración 67	 Error de entrenamiento: 0,0354536
Iteración 68	 Error de entrenamiento: 0,0352415
Iteración 69	 Error de entrenamiento: 0,0350092
Iteración 70	 Error de entrenamiento: 0,0347585
Iteración 71	 Error de entrenamiento: 0,0344911
Iteración 72	 Error de entrenamiento: 0,034209
Iteración 73	 Error de entrenamiento: 0,0339139
Iteración 74	 Error de entrenamiento: 0,0336079
Iteración 75	 Error de entrenamiento: 0,0332926
Iteración 76	 Error de entrenamiento: 0,0329698
Iteración 77	 Error de entrenamiento: 0,0326412
Iteración 78	 Error de entrenamiento: 0,0323084
Iteración 79	 Error de entrenamiento: 0,031973
Iteración 80	 Error de entrenamiento: 0,0316364
Iteración 81	 Error de entrenamiento: 0,0313
Iteración 82	 Error de entrenamiento: 0,030965
Iteración 83	 Error de entrenamiento: 0,0306326
Iteración 84	 Error de entrenamiento: 0,0303037
Iteración 85	 Error de entrenamiento: 0,0299793
Iteración 86	 Error de entrenamiento: 0,0296602
Iteración 87	 Error de entrenamiento: 0,029347
Iteración 88	 Error de entrenamiento: 0,0290404
Iteración 89	 Error de entrenamiento: 0,0287408
Iteración 90	 Error de entrenamiento: 0,0284485
Iteración 91	 Error de entrenamiento: 0,0281639
Iteración 92	 Error de entrenamiento: 0,0278871
Iteración 93	 Error de entrenamiento: 0,0276182
Iteración 94	 Error de entrenamiento: 0,0273572
