@relation /home/jopepato/Informatica/4Anio/IMC/practica4/dataset3.libsvm-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute att_1 numeric
@attribute att_2 numeric
@attribute class numeric

@data
{0 0.834,1 -0.7,2 2}
{0 0.874,1 -0.74,2 2}
{0 0.908,1 -0.762,2 2}
{0 0.972,1 -0.838,2 2}
{0 0.96,1 -0.89,2 2}
{0 0.926,1 -0.824,2 2}
{0 0.872,1 -0.768,2 2}
{0 0.932,1 -0.828,2 2}
{0 0.95,1 -0.91,2 2}
{0 0.998,1 -0.956,2 2}
{0 0.802,1 -0.566,2 2}
{0 0.742,1 -0.498,2 2}
{0 0.782,1 -0.516,2 2}
{0 0.852,1 -0.562,2 2}
{0 0.88,1 -0.626,2 2}
{0 0.922,1 -0.658,2 2}
{0 0.946,1 -0.712,2 2}
{0 0.964,1 -0.746,2 2}
{0 0.89,1 -0.668,2 2}
{0 0.852,1 -0.642,2 2}
{0 0.932,1 -0.734,2 2}
{0 0.934,1 -0.74,2 2}
{0 0.934,1 -0.74,2 2}
{0 0.936,1 -0.438,2 2}
{0 0.9,1 -0.354,2 2}
{0 0.89,1 -0.452,2 2}
{0 0.84,1 -0.432,2 2}
{0 0.794,1 -0.44,2 2}
{0 0.762,1 -0.456,2 2}
{0 0.89,1 -0.472,2 2}
{0 0.898,1 -0.524,2 2}
{0 0.96,1 -0.558,2 2}
{0 0.958,1 -0.572,2 2}
{0 0.92,1 -0.348,2 2}
{0 0.918,1 -0.296,2 2}
{0 0.852,1 -0.35,2 2}
{0 0.828,1 -0.398,2 2}
{0 0.804,1 -0.444,2 2}
{0 0.89,1 -0.438,2 2}
{0 0.966,1 -0.324,2 2}
{0 0.956,1 -0.236,2 2}
{0 0.956,1 -0.14,2 2}
{0 0.944,1 -0.076,2 2}
{0 0.912,1 -0.114,2 2}
{0 0.94,1 -0.056,2 2}
{0 0.96,1 -0.032,2 2}
{0 0.89,1 -0.214,2 2}
{0 0.766,1 -0.566,2 2}
{0 0.808,1 -0.526,2 2}
{0 0.816,1 -0.526,2 2}
{0 0.816,1 -0.526,2 2}
{0 0.862,1 -0.622,2 2}
{0 0.91,1 -0.684,2 2}
{0 0.844,1 -0.674,2 2}
{0 0.81,1 -0.642,2 2}
{0 0.952,1 -0.698,2 2}
{0 0.858,1 -0.542,2 2}
{0 0.786,1 -0.518,2 2}
{0 0.724,1 -0.53,2 2}
{0 0.702,1 -0.568,2 2}
{0 0.708,1 -0.61,2 2}
{0 0.732,1 -0.662,2 2}
{0 0.742,1 -0.706,2 2}
{0 0.754,1 -0.802,2 2}
{0 0.738,1 -0.862,2 2}
{0 0.74,1 -0.9,2 2}
{0 0.744,1 -0.962,2 2}
{0 0.746,1 -0.716,2 2}
{0 0.756,1 -0.596,2 2}
{0 0.776,1 -0.644,2 2}
{0 0.8,1 -0.702,2 2}
{0 0.812,1 -0.806,2 2}
{0 0.82,1 -0.856,2 2}
{0 0.804,1 -0.928,2 2}
{0 0.828,1 -0.726,2 2}
{0 0.808,1 -0.71,2 2}
{0 0.872,1 -0.87,2 2}
{0 0.88,1 -0.898,2 2}
{0 0.962,1 -0.402,2 2}
{0 0.968,1 -0.466,2 2}
{0 0.966,1 -0.526,2 2}
{0 0.892,1 -0.566,2 2}
{0 0.948,1 -0.602,2 2}
{0 0.972,1 -0.652,2 2}
{0 0.146,1 -0.336,2 2}
{0 0.154,1 -0.378,2 2}
{0 0.136,1 -0.446,2 2}
{0 0.088,1 -0.316,2 2}
{0 0.016,1 -0.218,2 2}
{0 0.072,1 -0.2,2 2}
{0 0.076,1 -0.414,2 2}
{0 0.05,1 -0.502,2 2}
{0 0.034,1 -0.622,2 2}
{0 0.39,1 -0.164,2 2}
{0 0.388,1 -0.276,2 2}
{0 0.546,1 -0.36,2 2}
{0 0.57,1 -0.26,2 2}
{0 0.738,1 -0.192,2 2}
{0 0.724,1 -0.092,2 2}
{0 0.254,1 -0.07,2 2}
{0 0.246,1 -0.8,2 2}
{0 0.278,1 -0.89,2 2}
{0 0.66,1 -0.618,2 2}
{0 0.62,1 -0.744,2 2}
{0 0.606,1 -0.884,2 2}
{0 0.432,1 -0.686,2 2}
{0 0.182,1 -0.056,2 1}
{0 0.226,1 -0.118,2 1}
{0 0.264,1 -0.216,2 1}
{0 0.326,1 -0.266,2 1}
{0 0.378,1 -0.314,2 1}
{0 0.448,1 -0.354,2 1}
{0 0.484,1 -0.278,2 1}
{0 0.488,1 -0.19,2 1}
{0 0.414,1 -0.084,2 1}
{0 0.392,1 -0.118,2 1}
{0 0.338,1 -0.17,2 1}
{0 0.386,1 -0.238,2 1}
{0 0.496,1 -0.232,2 1}
{0 0.644,1 -0.202,2 1}
{0 0.654,1 -0.132,2 1}
{0 0.736,1 -0.086,2 1}
{0 0.796,1 -0.072,2 1}
{0 0.846,1 -0.046,2 1}
{0 0.798,1 -0.116,2 1}
{0 0.754,1 -0.156,2 1}
{0 0.704,1 -0.202,2 1}
{0 0.696,1 -0.258,2 1}
{0 0.654,1 -0.346,2 1}
{0 0.638,1 -0.398,2 1}
{0 0.596,1 -0.414,2 1}
{0 0.522,1 -0.438,2 1}
{0 0.464,1 -0.44,2 1}
{0 0.442,1 -0.414,2 1}
{0 0.344,1 -0.38,2 1}
{0 0.342,1 -0.308,2 1}
{0 0.302,1 -0.28,2 1}
{0 0.256,1 -0.208,2 1}
{0 0.228,1 -0.148,2 1}
{0 0.17,1 -0.108,2 1}
{0 0.146,1 -0.05,2 1}
{0 0.202,1 -0.024,2 1}
{0 0.37,1 -0.032,2 1}
{0 0.522,1 -0.052,2 1}
{0 0.696,1 -0.052,2 1}
{0 0.736,1 -0.032,2 1}
{0 0.778,1 -0.048,2 1}
{0 0.67,1 -0.086,2 1}
{0 0.592,1 -0.094,2 1}
{0 0.56,1 -0.142,2 1}
{0 0.608,1 -0.186,2 1}
{0 0.696,1 -0.172,2 1}
{0 0.702,1 -0.156,2 1}
{0 0.526,1 -0.254,2 1}
{0 0.53,1 -0.262,2 1}
{0 0.53,1 -0.262,2 1}
{0 0.56,1 -0.282,2 1}
{0 0.668,1 -0.286,2 1}
{0 0.638,1 -0.306,2 1}
{0 0.584,1 -0.344,2 1}
{0 0.572,1 -0.402,2 1}
{0 0.606,1 -0.404,2 1}
{0 0.584,1 -0.43,2 1}
{0 0.396,1 -0.39,2 1}
{0 0.41,1 -0.364,2 1}
{0 0.514,1 -0.26,2 1}
{0 0.472,1 -0.188,2 1}
{0 0.494,1 -0.15,2 1}
{0 0.474,1 -0.134,2 1}
{0 0.432,1 -0.22,2 1}
{0 0.432,1 -0.102,2 1}
{0 0.522,1 -0.102,2 1}
{0 0.64,1 -0.046,2 1}
{0 0.714,1 -0.042,2 1}
{0 0.804,1 -0.044,2 1}
{0 0.866,1 -0.028,2 1}
{0 0.886,1 -0.032,2 1}
{0 0.92,1 -0.034,2 1}
{0 0.878,1 -0.066,2 1}
{0 0.822,1 -0.112,2 1}
{0 0.806,1 -0.162,2 1}
{0 0.606,1 -0.162,2 1}
{0 0.56,1 -0.112,2 1}
{0 0.558,1 -0.174,2 1}
{0 0.556,1 -0.194,2 1}
{0 0.576,1 -0.212,2 1}
{0 0.648,1 -0.138,2 1}
{0 0.6,1 -0.094,2 1}
{0 0.512,1 -0.074,2 1}
{0 0.462,1 -0.092,2 1}
{0 0.45,1 -0.134,2 1}
{0 0.65,1 -0.032,2 1}
{0 0.672,1 -0.052,2 1}
{0 0.56,1 -0.05,2 1}
{0 0.434,1 -0.046,2 1}
{0 0.294,1 -0.052,2 1}
{0 0.298,1 -0.08,2 1}
{0 0.344,1 -0.11,2 1}
{0 0.348,1 -0.122,2 1}
{0 0.288,1 -0.814,2 1}
{0 0.246,1 -0.87,2 1}
{0 0.334,1 -0.87,2 1}
{0 0.504,1 -0.88,2 1}
{0 0.586,1 -0.91,2 1}
{0 0.664,1 -0.9,2 1}
{0 0.676,1 -0.822,2 1}
{0 0.674,1 -0.734,2 1}
{0 0.654,1 -0.634,2 1}
{0 0.56,1 -0.602,2 1}
{0 0.474,1 -0.568,2 1}
{0 0.39,1 -0.594,2 1}
{0 0.344,1 -0.642,2 1}
{0 0.312,1 -0.716,2 1}
{0 0.244,1 -0.786,2 1}
{0 0.246,1 -0.862,2 1}
{0 0.19,1 -0.922,2 1}
{0 0.18,1 -0.93,2 1}
